Sentence,Emotion
앞으로가 불투명해서 걱정이에요,걱정스러운
원하던 물건을 샀어요,기쁜
햇살이 따뜻해요,편안한
의미 없는 하루 같아요,우울한
오늘 정말 기분이 좋아요,기쁜
울고 싶어요,슬픈
행복한 하루였습니다,기쁜
다들 나를 싫어하는 것 같아요,우울한
기쁜 마음으로 하루를 시작했어요,기쁜
마음이 안정돼요,편안한
주말 아침이 평화로워요,편안한
커피 마시며 여유를 즐겼어요,편안한
보고 싶은 사람이 있어요,슬픈
오늘은 아무 걱정 없어요,편안한
피곤했는데 쉬니까 살 것 같아요,편안한
자연 속에서 힐링했어요,편안한
또 실수했대요. 열받아요,화가나는
마음이 불안해요,걱정스러운
생각할수록 슬퍼져요,슬픈
산책하면서 편안함을 느꼈어요,편안한
웃음이 끊이지 않는 하루예요,기쁜
무슨 일이든 의욕이 없어요,우울한
말도 안 되는 일이 벌어졌어요,화가나는
기운이 하나도 없어요,우울한
좋아하는 사람이 고백했어요,기쁜
편하게 쉴 수 있어서 좋아요,편안한
꿈만 같은 일이 벌어졌어요,기쁜
열이 확 올라요,화가나는
마음이 너무 공허해요,우울한
억울해서 미칠 것 같아요,화가나는
짜증나서 말도 하기 싫어요,화가나는
왜 자꾸 나를 무시하죠?,화가나는
자꾸 눈물이 나요,우울한
이런 대우는 정말 싫어요,화가나는
신경 거슬리는 일이 많았어요,화가나는
합격했어요! 너무 기뻐요,기쁜
혼자 있고 싶어요,슬픈
실수할까 봐 무서워요,걱정스러운
외롭고 허전한 느낌이에요,우울한
회사에서 혼날까 봐 무서워요,걱정스러운
무기력한 하루였어요,우울한
외롭고 서러워요,슬픈
생일 축하를 많이 받았어요,기쁜
아무것도 하기 싫어요,우울한
기대했던 일이 잘 됐어요,기쁜
눈물이 멈추질 않아요,우울한
화가 머리 끝까지 났어요,화가나는
친구랑 재밌게 놀았어요,기쁜
좋은 사람과 함께하니 편해요,편안한
여행 계획이 생겼어요,기쁜
눈물이 날 뻔했어요,슬픈
화를 참기 힘들어요,화가나는
면접 결과가 걱정돼요,걱정스러운
계속 불안한 생각이 들어요,걱정스러운
분통이 터져요,화가나는
마음이 아파요,슬픈
날 이해해주는 사람이 없어요,슬픈
잘할 수 있을지 모르겠어요,걱정스러운
오늘 날씨도 기분도 좋아요,기쁜
아늑한 공간에서 쉬고 있어요,편안한
슬픈 생각만 들어요,우울한
부당한 일이었어요,화가나는
가슴이 먹먹해요,슬픈
일이 잘 안 풀려서 속상해요,우울한
기대했는데 실망했어요,슬픈
내일 병원 진료가 있어요,걱정스러운
좋았던 기억이 자꾸 떠올라요,슬픈
기분이 상했어요,화가나는
가족 건강이 걱정돼요,걱정스러운
슬픈 영화를 봤어요,슬픈
고요한 저녁이 좋아요,편안한
중요한 발표가 걱정돼요,걱정스러운
진짜 짜증나요,화가나는
희망이 안 보여요,우울한
기대했던 영화가 정말 좋았어요,기쁜
헤어졌어요... 너무 슬퍼요,슬픈
하루 종일 침대에 있었어요,우울한
기분 최고에요,기쁜
우울한 노래만 듣고 있어요,우울한
실패할까 봐 겁나요,걱정스러운
내일 시험인데 준비가 안 됐어요,걱정스러운
모든 게 허무하게 느껴져요,우울한
좋은 시간이었는데 끝났어요,슬픈
바람이 기분 좋게 불어요,편안한
정말 신나는 일이 생겼어요,기쁜
음악이 너무 슬프게 들려요,슬픈
